,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,y
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,8.31,8.15,15.14,1.27,1.3,1.69,0.76,0.79,0.34,5.35,8.96,4.94,0.6,0.88,0.87,12.26,6.19,6.09,29.19,29.91,29.97,1.87,2.4,2.4,4.02,3.39,3.4,1.24,1.18,1.79,9.41,9.76,18.57,4
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,8.81,8.65,16.14,0.73,1.03,1.15,1.19,1.22,1.2,2.75,3.76,2.34,1.11,1.39,1.13,34.26,17.19,17.09,56.19,56.91,56.97,1.86,2.39,2.4,3.68,3.05,3.06,2.4,1.76,2.95,9.61,9.96,18.97,6
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,9.81,9.65,18.14,0.53,0.93,0.95,1.16,1.19,1.14,2.75,3.76,2.34,0.58,0.86,0.86,58.26,29.19,29.09,60.19,60.91,60.97,1.86,2.39,2.4,4.03,3.4,3.41,1.3,1.21,1.85,9.81,10.16,19.37,6
21,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,8.51,8.35,15.54,0.87,1.1,1.29,0.99,1.02,0.8,3.25,4.76,2.84,0.59,0.87,0.87,46.26,23.19,23.09,71.19,71.91,71.97,1.87,2.4,2.41,4.16,3.53,3.54,1.54,1.33,2.09,10.11,10.46,19.97,5
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.81,8.65,16.14,0.95,1.14,1.37,0.89,0.92,0.6,2.55,3.36,2.14,0.64,0.92,0.89,20.26,10.19,10.09,37.19,37.91,37.97,1.86,2.39,2.4,3.81,3.18,3.19,2.06,1.59,2.61,9.91,10.26,19.57,5
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,9.41,9.25,17.34,1.07,1.2,1.49,0.79,0.82,0.4,3.25,4.76,2.84,0.6,0.87,0.87,18.26,9.19,9.09,67.19,67.91,67.97,1.86,2.39,2.4,3.81,3.18,3.19,1.3,1.21,1.85,9.81,10.16,19.37,5
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,7.81,7.65,14.14,0.89,1.11,1.31,0.82,0.85,0.46,3.35,4.96,2.94,0.6,0.87,0.87,42.26,21.19,21.09,40.19,40.91,40.97,1.86,2.39,2.4,4.07,3.44,3.45,1.5,1.31,2.05,10.11,10.46,19.97,6
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,7.21,7.05,12.94,0.87,1.1,1.29,0.84,0.87,0.5,2.35,2.96,1.94,0.59,0.86,0.87,22.26,11.19,11.09,23.19,23.91,23.97,1.86,2.39,2.4,3.98,3.35,3.36,1.36,1.24,1.91,9.71,10.06,19.17,5
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,8.51,8.35,15.54,0.91,1.12,1.33,0.92,0.95,0.66,2.75,3.76,2.34,0.59,0.86,0.87,8.26,4.19,4.09,11.19,11.91,11.97,1.86,2.39,2.4,3.92,3.29,3.3,1.42,1.27,1.97,9.91,10.26,19.57,5
27,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.81,8.65,16.14,0.95,1.14,1.37,0.89,0.92,0.6,2.55,3.36,2.14,0.64,0.92,0.89,20.26,10.19,10.09,37.19,37.91,37.97,1.86,2.39,2.4,3.81,3.18,3.19,2.06,1.59,2.61,9.91,10.26,19.57,5
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,8.01,7.85,14.54,1.51,1.42,1.93,0.68,0.71,0.18,2.85,3.96,2.44,0.59,0.86,0.87,28.26,14.19,14.09,35.19,35.91,35.97,1.87,2.39,2.4,4.11,3.48,3.49,1.34,1.23,1.89,9.81,10.16,19.37,5
29,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,8.71,8.55,15.94,1.38,1.36,1.8,0.68,0.71,0.18,2.95,4.16,2.54,0.59,0.87,0.87,16.26,8.19,8.09,16.19,16.91,16.97,1.86,2.39,2.4,4.02,3.39,3.4,1.42,1.27,1.97,10.21,10.56,20.17,6
30,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,7.61,7.45,13.74,1.44,1.39,1.86,0.75,0.78,0.32,3.35,4.96,2.94,0.61,0.88,0.88,34.26,17.19,17.09,82.19,82.91,82.97,1.86,2.39,2.4,3.99,3.36,3.37,1.32,1.22,1.87,10.51,10.86,20.77,5
31,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,7.81,7.65,14.14,1.46,1.4,1.88,0.68,0.71,0.18,3.45,5.16,3.04,0.64,0.91,0.89,44.26,22.19,22.09,37.19,37.91,37.97,1.86,2.39,2.4,4.1,3.47,3.48,1.38,1.25,1.93,11.01,11.36,21.77,6
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,9.21,9.05,16.94,1.4,1.37,1.82,0.8,0.83,0.42,3.25,4.76,2.84,0.59,0.87,0.87,30.26,15.19,15.09,113.19,113.91,113.97,1.86,2.39,2.4,3.81,3.18,3.19,1.56,1.34,2.11,10.21,10.56,20.17,5
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,7.81,7.65,14.14,1.3,1.32,1.72,0.8,0.83,0.42,11.65,21.56,11.24,0.57,0.85,0.86,80.26,40.19,40.09,83.19,83.91,83.97,1.87,2.4,2.41,4.09,3.46,3.47,1.28,1.2,1.83,9.81,10.16,19.37,6
34,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,6.11,5.95,10.74,0.73,1.03,1.15,0.93,0.96,0.68,2.75,3.76,2.34,0.63,0.91,0.89,26.26,13.19,13.09,50.19,50.91,50.97,1.86,2.39,2.4,4.02,3.39,3.4,1.34,1.23,1.89,9.61,9.96,18.97,5
35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,8.71,8.55,15.94,1.38,1.36,1.8,0.68,0.71,0.18,6.45,11.16,6.04,0.6,0.88,0.87,10.26,5.19,5.09,18.19,18.91,18.97,1.87,2.4,2.41,4.04,3.41,3.42,1.34,1.23,1.89,10.01,10.36,19.77,6
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,8.71,8.55,15.94,1.29,1.31,1.71,0.82,0.85,0.46,3.35,4.96,2.94,0.6,0.88,0.87,6.26,3.19,3.09,15.19,15.91,15.97,1.87,2.4,2.4,4.06,3.43,3.44,1.44,1.28,1.99,11.21,11.56,22.17,6
37,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,9.01,8.85,16.54,0.85,1.09,1.27,0.96,0.99,0.74,3.05,4.36,2.64,0.56,0.84,0.85,26.26,13.19,13.09,30.19,30.91,30.97,1.86,2.39,2.4,3.87,3.24,3.25,1.7,1.41,2.25,10.11,10.46,19.97,7
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,6.61,6.45,11.74,2.35,1.84,2.77,0.77,0.8,0.36,2.45,3.16,2.04,0.77,1.05,0.96,14.26,7.19,7.09,19.19,19.91,19.97,1.86,2.39,2.4,4.14,3.51,3.52,1.2,1.16,1.75,10.21,10.56,20.17,4
39,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,8.21,8.05,14.94,0.99,1.16,1.41,1.04,1.07,0.9,6.85,11.96,6.44,0.58,0.85,0.86,24.26,12.19,12.09,87.19,87.91,87.97,1.87,2.4,2.41,3.97,3.34,3.35,1.9,1.51,2.45,10.91,11.26,21.57,5
40,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,8.21,8.05,14.94,0.99,1.16,1.41,1.04,1.07,0.9,6.85,11.96,6.44,0.58,0.85,0.86,24.26,12.19,12.09,87.19,87.91,87.97,1.87,2.4,2.41,3.97,3.34,3.35,1.9,1.51,2.45,10.91,11.26,21.57,5
41,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,9.71,9.55,17.94,1.31,1.32,1.73,0.98,1.01,0.78,3.75,5.76,3.34,0.6,0.88,0.88,34.26,17.19,17.09,46.19,46.91,46.97,1.87,2.4,2.41,3.9,3.27,3.28,1.26,1.19,1.81,9.71,10.06,19.17,4
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,8.41,8.25,15.34,1.07,1.2,1.49,0.88,0.91,0.58,3.55,5.36,3.14,1.09,1.37,1.12,16.26,8.19,8.09,14.19,14.91,14.97,1.86,2.39,2.4,3.85,3.22,3.23,2.04,1.58,2.59,10.91,11.26,21.57,6
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,9.01,8.85,16.54,1.41,1.37,1.83,0.9,0.93,0.62,3.15,4.56,2.74,0.57,0.84,0.86,18.26,9.19,9.09,23.19,23.91,23.97,1.86,2.39,2.4,3.94,3.31,3.32,2.64,1.88,3.19,10.71,11.06,21.17,5
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,7.71,7.55,13.94,1.43,1.38,1.85,0.7,0.73,0.22,2.75,3.76,2.34,0.53,0.8,0.84,10.26,5.19,5.09,11.19,11.91,11.97,1.86,2.39,2.4,4.12,3.49,3.5,1.28,1.2,1.83,9.91,10.26,19.57,5
45,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,5.51,5.35,9.54,1.13,1.23,1.55,0.83,0.86,0.48,3.05,4.36,2.64,0.54,0.81,0.84,16.26,8.19,8.09,65.19,65.91,65.97,1.86,2.39,2.4,4.54,3.91,3.92,1.36,1.24,1.91,13.51,13.86,26.77,4
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,8.61,8.45,15.74,1.96,1.65,2.38,1.11,1.14,1.04,3.15,4.56,2.74,0.66,0.93,0.9,44.26,22.19,22.09,114.19,114.91,114.97,1.87,2.39,2.4,3.89,3.26,3.27,1.7,1.41,2.25,9.61,9.96,18.97,5
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,9.61,9.45,17.74,0.67,1.0,1.09,1.2,1.23,1.22,2.55,3.36,2.14,0.65,0.93,0.9,24.26,12.19,12.09,37.19,37.91,37.97,1.86,2.39,2.4,3.89,3.26,3.27,1.4,1.26,1.95,9.91,10.26,19.57,5
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,7.31,7.15,13.14,0.89,1.11,1.31,0.91,0.94,0.64,2.55,3.36,2.14,0.56,0.84,0.85,10.26,5.19,5.09,12.19,12.91,12.97,1.86,2.39,2.4,3.98,3.35,3.36,1.36,1.24,1.91,9.61,9.96,18.97,5
49,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,6.51,6.35,11.54,0.71,1.02,1.13,1.05,1.08,0.92,2.35,2.96,1.94,0.58,0.85,0.86,24.26,12.19,12.09,96.19,96.91,96.97,1.86,2.39,2.4,3.96,3.33,3.34,1.4,1.26,1.95,9.61,9.96,18.97,5
50,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,9.71,9.55,17.94,1.41,1.37,1.83,0.94,0.97,0.7,2.65,3.56,2.24,0.58,0.85,0.86,8.26,4.19,4.09,23.19,23.91,23.97,1.87,2.39,2.4,3.79,3.16,3.17,1.72,1.42,2.27,9.61,9.96,18.97,5
51,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,7.51,7.35,13.54,1.13,1.23,1.55,0.72,0.75,0.26,3.15,4.56,2.74,0.57,0.84,0.86,16.26,8.19,8.09,15.19,15.91,15.97,1.86,2.39,2.4,4.04,3.41,3.42,1.5,1.31,2.05,9.81,10.16,19.37,6
52,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,7.51,7.35,13.54,1.09,1.21,1.51,0.72,0.75,0.26,3.05,4.36,2.64,0.56,0.84,0.86,12.26,6.19,6.09,14.19,14.91,14.97,1.86,2.39,2.4,4.03,3.4,3.41,1.52,1.32,2.07,9.81,10.16,19.37,6
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,9.51,9.35,17.54,0.85,1.09,1.27,1.04,1.07,0.9,3.95,6.16,3.54,0.59,0.87,0.87,60.26,30.19,30.09,119.19,119.91,119.97,1.87,2.39,2.4,3.84,3.21,3.22,1.36,1.24,1.91,9.81,10.16,19.37,5
54,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,8.51,8.35,15.54,1.11,1.22,1.53,0.83,0.86,0.48,3.75,5.76,3.34,0.65,0.92,0.9,66.26,33.19,33.09,73.19,73.91,73.97,1.86,2.39,2.4,3.81,3.18,3.19,1.5,1.31,2.05,10.61,10.96,20.97,6
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,8.61,8.45,15.74,1.33,1.33,1.75,0.72,0.75,0.26,4.75,7.76,4.34,0.6,0.87,0.87,50.26,25.19,25.09,45.19,45.91,45.97,1.87,2.4,2.41,3.98,3.35,3.36,1.3,1.21,1.85,9.91,10.26,19.57,5
56,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,11.11,10.95,20.74,0.93,1.13,1.35,1.25,1.28,1.32,4.35,6.96,3.94,0.57,0.84,0.86,8.26,4.19,4.09,10.19,10.91,10.97,1.87,2.39,2.4,3.68,3.05,3.06,1.5,1.31,2.05,10.01,10.36,19.77,5
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,8.41,8.25,15.34,1.35,1.34,1.77,0.8,0.83,0.42,6.05,10.36,5.64,0.65,0.93,0.9,100.26,50.19,50.09,110.19,110.91,110.97,1.87,2.4,2.41,3.9,3.27,3.28,1.78,1.45,2.33,9.81,10.16,19.37,5
58,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,8.71,8.55,15.94,1.27,1.3,1.69,0.86,0.89,0.54,3.25,4.76,2.84,0.58,0.86,0.86,34.26,17.19,17.09,54.19,54.91,54.97,1.87,2.4,2.4,4.07,3.44,3.45,1.42,1.27,1.97,10.41,10.76,20.57,5
59,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,8.21,8.05,14.94,0.87,1.1,1.29,0.99,1.02,0.8,3.35,4.96,2.94,0.58,0.85,0.86,18.26,9.19,9.09,46.19,46.91,46.97,1.86,2.39,2.4,4.05,3.42,3.43,1.32,1.22,1.87,9.81,10.16,19.37,6
60,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,9.71,9.55,17.94,0.89,1.11,1.31,1.08,1.11,0.98,3.15,4.56,2.74,0.59,0.86,0.87,38.26,19.19,19.09,52.19,52.91,52.97,1.87,2.4,2.41,4.08,3.45,3.46,1.52,1.32,2.07,9.61,9.96,18.97,5
61,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,8.61,8.45,15.74,1.47,1.4,1.89,1.17,1.2,1.16,2.75,3.76,2.34,0.66,0.93,0.9,40.26,20.19,20.09,112.19,112.91,112.97,1.86,2.39,2.4,3.85,3.22,3.23,1.66,1.39,2.21,9.71,10.06,19.17,5
62,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,8.41,8.25,15.34,1.13,1.23,1.55,0.84,0.87,0.5,2.85,3.96,2.44,0.6,0.87,0.87,24.26,12.19,12.09,35.19,35.91,35.97,1.86,2.39,2.4,4.02,3.39,3.4,1.48,1.3,2.03,9.91,10.26,19.57,7
63,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,7.91,7.75,14.34,1.56,1.45,1.98,0.73,0.76,0.28,2.95,4.16,2.54,0.59,0.87,0.87,26.26,13.19,13.09,54.19,54.91,54.97,1.86,2.39,2.4,4.03,3.4,3.41,1.38,1.25,1.93,10.21,10.56,20.17,5
64,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,8.11,7.95,14.74,1.54,1.44,1.96,0.73,0.76,0.28,5.6,9.46,5.19,0.6,0.88,0.87,8.26,4.19,4.09,11.19,11.91,11.97,1.86,2.39,2.4,4.05,3.42,3.43,1.02,1.07,1.57,11.31,11.66,22.37,5
65,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,8.11,7.95,14.74,1.54,1.44,1.96,0.73,0.76,0.28,5.6,9.46,5.19,0.6,0.88,0.87,8.26,4.19,4.09,11.19,11.91,11.97,1.86,2.39,2.4,4.05,3.42,3.43,1.02,1.07,1.57,11.31,11.66,22.37,5
66,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,8.41,8.25,15.34,1.13,1.23,1.55,0.79,0.82,0.4,2.45,3.16,2.04,0.59,0.86,0.87,22.26,11.19,11.09,39.19,39.91,39.97,1.86,2.39,2.4,4.06,3.43,3.44,1.4,1.26,1.95,10.01,10.36,19.77,5
67,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,7.51,7.35,13.54,1.5,1.42,1.92,0.75,0.78,0.32,2.55,3.36,2.14,0.58,0.86,0.86,12.26,6.19,6.09,15.19,15.91,15.97,1.86,2.39,2.4,4.08,3.45,3.46,1.4,1.26,1.95,11.11,11.46,21.97,5
68,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,10.21,10.05,18.94,0.73,1.03,1.15,1.25,1.28,1.32,2.95,4.16,2.54,0.58,0.85,0.86,54.26,27.19,27.09,65.19,65.91,65.97,1.86,2.39,2.4,3.92,3.29,3.3,1.82,1.47,2.37,11.11,11.46,21.97,5
69,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,8.91,8.75,16.34,1.5,1.42,1.92,0.73,0.76,0.28,2.85,3.96,2.44,0.58,0.85,0.86,16.26,8.19,8.09,19.19,19.91,19.97,1.86,2.39,2.4,3.98,3.35,3.36,2.14,1.63,2.69,10.91,11.26,21.57,6
70,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,8.61,8.45,15.74,1.35,1.34,1.77,0.76,0.79,0.34,2.85,3.96,2.44,0.58,0.86,0.86,30.26,15.19,15.09,27.19,27.91,27.97,1.86,2.39,2.4,3.96,3.33,3.34,1.32,1.22,1.87,9.91,10.26,19.57,6
71,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,8.61,8.45,15.74,1.43,1.38,1.85,0.91,0.94,0.64,3.05,4.36,2.64,0.6,0.88,0.88,34.26,17.19,17.09,96.19,96.91,96.97,1.86,2.39,2.4,3.96,3.33,3.34,1.2,1.16,1.75,9.91,10.26,19.57,5
72,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,8.61,8.45,15.74,1.47,1.4,1.89,0.9,0.93,0.62,2.85,3.96,2.44,0.6,0.87,0.87,36.26,18.19,18.09,94.19,94.91,94.97,1.86,2.39,2.4,3.95,3.32,3.33,1.2,1.16,1.75,9.91,10.26,19.57,5
73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,9.21,9.05,16.94,1.44,1.39,1.86,0.94,0.97,0.7,3.05,4.36,2.64,0.6,0.87,0.87,22.26,11.19,11.09,43.19,43.91,43.97,1.87,2.4,2.41,3.95,3.32,3.33,1.3,1.21,1.85,9.61,9.96,18.97,4
74,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,10.61,10.45,19.74,0.73,1.03,1.15,1.22,1.25,1.26,3.45,5.16,3.04,0.62,0.89,0.88,56.26,28.19,28.09,83.19,83.91,83.97,1.87,2.4,2.41,3.92,3.29,3.3,1.88,1.5,2.43,10.01,10.36,19.77,5
